日付,商品名,数量,単価,売上金額,顧客名,地域
2023-01-15,ノートPC,2,80000,160000,田中商事,東京
2023-01-20,マウス,50,2000,100000,佐藤商店,大阪
2023-01-25,キーボード,30,3000,90000,鈴木企業,名古屋
2023-02-10,モニター,5,25000,125000,高橋商会,福岡
2023-02-15,プリンター,8,15000,120000,渡辺商店,札幌
2023-02-28,スキャナー,3,20000,60000,伊藤商事,仙台
2023-03-05,タブレット,10,40000,400000,山田商店,広島
2023-03-12,スマートフォン,15,60000,900000,中村企業,京都
2023-03-20,ヘッドフォン,100,5000,500000,小林商会,神戸
2023-04-08,ウェブカメラ,25,8000,200000,加藤商店,横浜
2023-04-15,マイク,40,3000,120000,吉田企業,新潟
2023-04-22,スピーカー,20,12000,240000,河野商事,静岡
2023-05-03,ゲーミングマウス,35,8000,280000,松本商店,岡山
2023-05-10,ゲーミングキーボード,25,12000,300000,井上企業,熊本
2023-05-18,ゲーミングヘッドセット,30,15000,450000,木村商会,鹿児島
2023-06-05,SSD,50,15000,750000,清水商店,秋田
2023-06-12,メモリ,80,8000,640000,山口企業,山形
2023-06-20,グラフィックボード,10,50000,500000,森商事,青森
2023-07-07,CPU,15,30000,450000,池田商店,岩手
2023-07-14,マザーボード,12,25000,300000,橋本企業,宮城
2023-07-21,電源ユニット,40,8000,320000,阿部商会,山梨
2023-08-04,ケース,20,12000,240000,石川商店,長野
2023-08-11,冷却ファン,60,3000,180000,山下企業,岐阜
2023-08-25,LEDストリップ,100,2000,200000,中島商事,三重
2023-09-02,USBケーブル,200,500,100000,坂本商店,滋賀
2023-09-09,HDMIケーブル,150,800,120000,福田企業,奈良
2023-09-16,LANケーブル,300,400,120000,太田商会,和歌山
2023-10-07,無線LANアダプター,45,5000,225000,藤田商店,鳥取
2023-10-14,ブルートゥースアダプター,60,3000,180000,岡本企業,島根
2023-10-21,カードリーダー,80,2000,160000,中川商事,香川
2023-11-04,外付けHDD,25,8000,200000,田村商店,徳島
2023-11-11,外付けSSD,30,12000,360000,竹内企業,愛媛
2023-11-18,USBメモリ,200,3000,600000,原田商会,高知
2023-12-02,SDカード,500,2000,1000000,西村商店,佐賀
2023-12-09,microSDカード,400,1500,600000,前田企業,長崎
2023-12-16,CFカード,100,5000,500000,村上商会,大分
2023-12-23,メモリカードリーダー,150,1500,225000,長谷川商店,宮崎
2023-12-30,USBハブ,120,2000,240000,近藤企業,沖縄
2024-01-05,ワイヤレスマウス,80,4000,320000,石井商事,東京
2024-01-12,ワイヤレスキーボード,60,6000,360000,小野商店,大阪
2024-01-19,ワイヤレスヘッドセット,40,12000,480000,坂井企業,名古屋
2024-02-02,ワイヤレスイヤホン,100,8000,800000,青木商会,福岡
2024-02-09,ワイヤレススピーカー,30,15000,450000,柴田商店,札幌
2024-02-16,ワイヤレスマイク,25,10000,250000,酒井企業,仙台
2024-03-01,ワイヤレスカメラ,20,20000,400000,杉本商事,広島
2024-03-08,ワイヤレスプリンター,15,25000,375000,新井商店,京都
2024-03-15,ワイヤレススキャナー,10,30000,300000,北村企業,神戸
2024-04-05,スマートウォッチ,50,30000,1500000,安藤商会,横浜
2024-04-12,フィットネストラッカー,80,15000,1200000,宮崎商店,新潟
2024-04-19,スマートグラス,20,50000,1000000,大野企業,静岡
2024-05-03,ドローン,10,80000,800000,高木商事,岡山
2024-05-10,アクションカメラ,30,25000,750000,菊地商店,熊本
2024-05-17,360度カメラ,15,40000,600000,佐々木企業,鹿児島
2024-06-07,VRヘッドセット,25,35000,875000,松井商会,秋田
2024-06-14,ARグラス,20,60000,1200000,野村商店,山形
2024-06-21,スマートホームデバイス,40,20000,800000,藤原企業,青森
2024-07-05,スマート電球,200,3000,600000,岡崎商事,岩手
2024-07-12,スマートロック,30,25000,750000,中野商店,宮城
2024-07-19,スマートサーモスタット,25,30000,750000,田口企業,山梨
2024-08-02,スマートセキュリティカメラ,35,20000,700000,西田商会,長野
2024-08-09,スマートドアベル,50,15000,750000,平野商店,岐阜
2024-08-16,スマートガレージドア,20,40000,800000,星野企業,三重
2024-09-06,スマート冷蔵庫,8,80000,640000,今井商事,滋賀
2024-09-13,スマート洗濯機,12,60000,720000,岩崎商店,奈良
2024-09-20,スマート食洗機,15,50000,750000,上田企業,和歌山
2024-10-04,スマートオーブン,25,30000,750000,内田商会,鳥取
2024-10-11,スマートコーヒーメーカー,40,20000,800000,原商店,島根
2024-10-18,スマートトースター,60,15000,900000,工藤企業,香川
2024-11-01,スマートブレンダー,45,12000,540000,横山商事,徳島
2024-11-08,スマートミキサー,35,10000,350000,山本商店,愛媛
2024-11-15,スマートフードプロセッサー,30,18000,540000,林企業,高知
2024-12-06,スマートスロークッカー,50,8000,400000,清水商会,佐賀
2024-12-13,スマート圧力鍋,40,12000,480000,森田商店,長崎
2024-12-20,スマート炊飯器,60,15000,900000,池上企業,大分
2024-12-27,スマート電子レンジ,25,25000,625000,石塚商会,宮崎 